Round, Client Index, Execution Time (s)
237, 2, 21.5359
237, 3, 31.1088
237, 4, 39.3540
238, 0, 27.4643
238, 1, 6.9791
238, 2, 16.4862
238, 3, 36.8865
238, 4, 20.1196
239, 0, 33.2114
239, 1, 13.4381
239, 2, 7.4480
239, 3, 20.1554
239, 4, 29.5682
240, 0, 9.4898
240, 1, 33.1810
240, 2, 17.2009
240, 3, 29.5370
240, 4, 23.2027
241, 0, 38.0965
241, 1, 20.2273
241, 2, 6.8623
241, 3, 28.5025
241, 4, 12.8704
242, 0, 4.2449
242, 1, 25.2632
242, 2, 17.0003
242, 3, 10.9807
242, 4, 31.6218
243, 0, 28.1712
243, 1, 35.5176
243, 2, 3.7023
243, 3, 11.9415
243, 4, 18.6537
244, 0, 6.6064
244, 1, 22.8864
244, 2, 13.3552
244, 3, 30.6197
244, 4, 40.2145
245, 0, 34.9219
245, 1, 27.1784
245, 2, 14.1017
245, 3, 6.7630
245, 4, 23.5347
246, 0, 16.1164
246, 1, 37.0172
246, 2, 19.7570
246, 3, 27.4822
246, 4, 9.7572
247, 0, 19.6476
247, 1, 26.9929
247, 2, 32.9989
247, 3, 6.5047
247, 4, 16.0124
248, 0, 7.0817
248, 1, 28.1585
248, 2, 22.1562
248, 3, 14.4265
248, 4, 34.5078
249, 0, 24.2947
249, 1, 14.7501
249, 2, 8.7470
249, 3, 40.0789
249, 4, 33.7286
250, 0, 34.7729
250, 1, 3.6546
250, 2, 20.5120
250, 3, 28.7727
250, 4, 13.1664
251, 0, 13.5042
251, 1, 37.5159
251, 2, 29.7861
251, 3, 23.0634
251, 4, 4.0081
252, 0, 9.8806
252, 1, 15.8743
252, 2, 31.7660
